User_ID_Next_month_Activity,Active
ID_4TOXNBGB_Month_5,0
ID_CHFTIP26_Month_5,0
ID_FU5GMWLQ_Month_5,0
ID_254TVBQP_Month_5,0
ID_4ENO2VFE_Month_5,0
ID_R9EPTVJZ_Month_5,0
ID_XM4LWUL7_Month_5,0
ID_GTVKVEUE_Month_5,0
ID_B8NL3YBA_Month_5,0
ID_TT6JG8M7_Month_5,0
ID_D16OZRPM_Month_5,0
ID_6C3YO724_Month_5,0
ID_LWJE2K6Q_Month_5,0
ID_OFICYE9X_Month_5,0
ID_Q2JALW23_Month_5,0
ID_QJJ8J499_Month_5,0
ID_FNB6JNFF_Month_5,0
ID_XD0SYVJV_Month_5,0
ID_URMEMPWE_Month_5,0
ID_8PRIOEAV_Month_5,0
ID_938EZZ0U_Month_5,0
ID_FM2481L2_Month_5,0
ID_25H86A4R_Month_5,0
ID_LH5XN79V_Month_5,0
ID_I75MUTIT_Month_5,0
ID_0I7J6TKH_Month_5,0
ID_1RX0766E_Month_5,0
ID_MRXQT8EG_Month_5,0
ID_14BTWT4B_Month_5,0
ID_ENHZW0RE_Month_5,0
ID_AF9MKNMM_Month_5,0
ID_5DST4KXN_Month_5,0
ID_1NN43K18_Month_5,0
ID_3WPSRWUR_Month_5,0
ID_AKCW8NHY_Month_5,0
ID_ZFN2QWUD_Month_5,0
ID_RV3N0YO7_Month_5,0
ID_1NG9BESK_Month_5,0
ID_9KCTFNR4_Month_5,0
ID_H8CQZGBG_Month_5,0
ID_CWMV1KRE_Month_5,0
ID_YLUQF230_Month_5,0
ID_CBRDD06U_Month_5,0
ID_LF5TSYCQ_Month_5,0
ID_CZR2H51O_Month_5,0
ID_HJOSXL99_Month_5,0
ID_I1E5Q4RR_Month_5,0
ID_12BX0AO4_Month_5,0
ID_BI5MM52L_Month_5,0
ID_BDVKYO9D_Month_5,0
ID_AS86YZ4O_Month_5,0
ID_ATXB4Q6J_Month_5,0
ID_CMBQL60L_Month_5,0
ID_CD8NO54Q_Month_5,0
ID_P0ZB7MFE_Month_5,0
ID_EDJF1U4G_Month_5,0
ID_XB8F2K89_Month_5,0
ID_1WWFX50X_Month_5,0
ID_UAON3JD6_Month_5,0
ID_S6ILJ493_Month_5,0
ID_HBK6KBH3_Month_5,0
ID_BBLI3KDX_Month_5,0
ID_K87MYV25_Month_5,0
ID_8P0DOUV7_Month_5,0
ID_D85872UY_Month_5,0
ID_TC3AZN8Q_Month_5,0
ID_75NT16A7_Month_5,0
ID_N31G4ZP8_Month_5,0
ID_BJE0MYLV_Month_5,0
ID_GFTNGHPT_Month_5,0
ID_XH44D2JV_Month_5,0
ID_QT4YA0NA_Month_5,0
ID_UTJXW5MO_Month_5,0
ID_9F6QU0OA_Month_5,0
ID_SIUMXFB4_Month_5,0
ID_A1JA0DJJ_Month_5,0
ID_32O9ZEII_Month_5,0
ID_4PHQTLAM_Month_5,0
ID_AU97VBQQ_Month_5,0
ID_OCRAPUF4_Month_5,0
ID_VESB0M49_Month_5,0
ID_8GWH2GDZ_Month_5,0
ID_NRA8FELT_Month_5,0
ID_6CC5HC00_Month_5,0
ID_6AICLAQU_Month_5,0
ID_LN5JRQ2E_Month_5,0
ID_7Q9L0LOZ_Month_5,0
ID_23XE2FVI_Month_5,0
ID_YZEBGMCF_Month_5,0
ID_C0EGB1VH_Month_5,0
ID_3O2WJBO1_Month_5,0
ID_PSUKC52T_Month_5,0
ID_DSFHHPD5_Month_5,0
ID_HMEUTN33_Month_5,0
ID_P9ITT9HH_Month_5,0
ID_Q5AOMJHR_Month_5,0
ID_AV1EA0UV_Month_5,0
ID_W3AAC8TL_Month_5,0
ID_X499XE4N_Month_5,0
ID_QBS8TN3K_Month_5,0
ID_4IQH66LC_Month_5,0
ID_8B7ENE61_Month_5,0
ID_SJHQXHBF_Month_5,0
ID_U4CJB0XX_Month_5,0
ID_9TM3VV69_Month_5,0
ID_GEXXOL11_Month_5,0
ID_SYQRAB7T_Month_5,0
ID_31N6J816_Month_5,0
ID_KWDF4386_Month_5,0
ID_H0T8R1TQ_Month_5,0
ID_5X5X4UZU_Month_5,0
ID_32JE6LU9_Month_5,0
ID_7Q9WBLHU_Month_5,0
ID_C71F52NG_Month_5,0
ID_QL4YYL0B_Month_5,0
ID_BIY5GQ45_Month_5,0
ID_ZA3MUIEZ_Month_5,0
ID_3ROJRM7D_Month_5,0
ID_98W3IL6F_Month_5,0
